Name,True Positive,False Positive,False Negative,True Negative,True Event,Check event,Validations Number
2_065_1.mp4,131,133,0,0,a certain number of persons fighting,everything is normal,264
1_071_1.mp4,65,48,0,0,a certain number of persons fighting,everything is normal,113
4_079_1.mp4,123,80,0,0,a certain number of persons fighting,everything is normal,203
1_072_1.mp4,115,18,0,0,a certain number of persons fighting,everything is normal,133
2_077_1.mp4,28,38,0,0,a certain number of persons fighting,everything is normal,66
1_069_1.mp4,166,58,0,0,a certain number of persons fighting,everything is normal,224
2_079_1.mp4,72,42,0,0,a certain number of persons fighting,everything is normal,114
1_094_1.mp4,101,97,0,0,a group of persons playing,everything is normal,198
3_101_1.mp4,554,273,0,0,a group of persons playing,everything is normal,827
4_111_1.mp4,234,121,0,0,a group of persons playing,everything is normal,355
3_102_1.mp4,63,120,0,0,a group of persons playing,everything is normal,183
2_090_1.mp4,524,548,0,0,a group of persons playing,everything is normal,1072
1_093_1.mp4,407,331,0,0,a group of persons playing,everything is normal,738
2_093_1.mp4,239,120,0,0,a group of persons playing,everything is normal,359
4_109_1.mp4,445,246,0,0,a group of persons playing,everything is normal,691
3_093_1.mp4,67,136,0,0,a person running,everything is normal,203
4_092_1.mp4,34,19,0,0,a person running,everything is normal,53
2_066_1.mp4,81,33,0,0,a person running,everything is normal,114
4_101_1.mp4,76,60,0,0,a person running,everything is normal,136
3_104_1.mp4,68,75,0,0,a person running,everything is normal,143
1_077_1.mp4,24,58,0,0,a person running,everything is normal,82
4_087_1.mp4,53,36,0,0,a person running,everything is normal,89
2_075_1.mp4,32,52,0,0,a person running,everything is normal,84
4_090_1.mp4,23,30,0,0,a person running,everything is normal,53
4_080_1.mp4,72,51,0,0,a person running,everything is normal,123
1_070_1.mp4,33,25,0,3,a person running,everything is normal,61
4_078_1.mp4,27,26,0,0,a person running,everything is normal,53
4_104_1.mp4,16,13,0,0,a person running,everything is normal,29
4_112_1.mp4,27,38,0,0,a person running,everything is normal,65
2_095_1.mp4,47,37,0,0,a person running,everything is normal,84
3_077_1.mp4,69,102,0,0,a person running,everything is normal,171
2_064_1.mp4,37,46,0,0,a person running,everything is normal,83
1_079_1.mp4,27,0,0,0,a person running,everything is normal,27
4_102_1.mp4,22,31,0,0,a person running,everything is normal,53
3_103_1.mp4,24,59,0,0,a person running,everything is normal,83
3_087_1.mp4,37,76,0,0,a person running,everything is normal,113
3_075_1.mp4,37,138,0,0,a person running,everything is normal,175
4_100_1.mp4,25,22,0,0,a person running,everything is normal,47
4_089_1.mp4,148,294,1,0,a person lying in the floor,everything is normal,443
2_080_1.mp4,212,142,0,0,a person lying in the floor,everything is normal,354
3_092_1.mp4,192,221,0,0,a person lying in the floor,everything is normal,413
1_091_1.mp4,217,42,0,0,a person lying in the floor,everything is normal,259
3_099_1.mp4,259,63,0,0,a person lying in the floor,everything is normal,322
1_078_1.mp4,127,99,3,0,a person lying in the floor,everything is normal,229
4_094_1.mp4,272,45,0,0,a person lying in the floor,everything is normal,317
3_086_1.mp4,139,393,0,0,a person lying in the floor,everything is normal,532
1_084_1.mp4,167,36,0,0,a person lying in the floor,everything is normal,203
2_069_1.mp4,78,66,0,0,a person chasing other person,everything is normal,144
1_082_1.mp4,30,52,0,0,a person chasing other person,everything is normal,82
4_108_1.mp4,34,31,0,0,a person chasing other person,everything is normal,65
4_107_1.mp4,45,98,0,0,a person chasing other person,everything is normal,143
4_114_1.mp4,55,10,0,0,a person chasing other person,everything is normal,65
3_096_1.mp4,36,46,0,0,a person chasing other person,everything is normal,82
1_073_1.mp4,30,23,0,0,a person chasing other person,everything is normal,53
3_091_1.mp4,34,79,0,0,a person chasing other person,everything is normal,113
2_078_1.mp4,30,54,0,0,a person chasing other person,everything is normal,84
2_088_1.mp4,50,76,0,0,a person chasing other person,everything is normal,126
2_031_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
2_031_0.mp4,0,20,0,11,everything is normal,a certain number of persons fighting,31
2_031_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
2_031_0.mp4,0,5,0,5,everything is normal,a person running,10
2_031_0.mp4,0,0,0,250,everything is normal,a person lying in the floor,250
2_031_0.mp4,0,34,0,24,everything is normal,a person chasing other person,58
2_031_0.mp4,0,252,0,0,everything is normal,everything is normal,252
1_052_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
1_052_0.mp4,0,0,0,0,everything is normal,a certain number of persons fighting,0
1_052_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
1_052_0.mp4,0,0,0,19,everything is normal,a person running,19
1_052_0.mp4,0,0,0,41,everything is normal,a person lying in the floor,41
1_052_0.mp4,0,0,0,0,everything is normal,a person chasing other person,0
1_052_0.mp4,0,43,0,0,everything is normal,everything is normal,43
2_028_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
2_028_0.mp4,0,26,0,27,everything is normal,a certain number of persons fighting,53
2_028_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
2_028_0.mp4,0,1,0,36,everything is normal,a person running,37
2_028_0.mp4,0,0,0,250,everything is normal,a person lying in the floor,250
2_028_0.mp4,0,44,0,60,everything is normal,a person chasing other person,104
2_028_0.mp4,0,251,0,0,everything is normal,everything is normal,251
4_068_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
4_068_0.mp4,0,16,0,275,everything is normal,a certain number of persons fighting,291
4_068_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
4_068_0.mp4,0,0,0,97,everything is normal,a person running,97
4_068_0.mp4,0,0,0,639,everything is normal,a person lying in the floor,639
4_068_0.mp4,0,27,0,322,everything is normal,a person chasing other person,349
4_068_0.mp4,0,641,0,0,everything is normal,everything is normal,641
2_054_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
2_054_0.mp4,0,16,0,17,everything is normal,a certain number of persons fighting,33
2_054_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
2_054_0.mp4,0,0,0,66,everything is normal,a person running,66
2_054_0.mp4,0,0,0,232,everything is normal,a person lying in the floor,232
2_054_0.mp4,0,38,0,60,everything is normal,a person chasing other person,98
2_054_0.mp4,0,232,0,0,everything is normal,everything is normal,232
3_035_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
3_035_0.mp4,0,12,0,1,everything is normal,a certain number of persons fighting,13
3_035_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
3_035_0.mp4,0,0,0,24,everything is normal,a person running,24
3_035_0.mp4,0,0,0,262,everything is normal,a person lying in the floor,262
3_035_0.mp4,0,15,0,7,everything is normal,a person chasing other person,22
3_035_0.mp4,0,262,0,2,everything is normal,everything is normal,264
4_040_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
4_040_0.mp4,0,26,0,9,everything is normal,a certain number of persons fighting,35
4_040_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
4_040_0.mp4,0,2,0,69,everything is normal,a person running,71
4_040_0.mp4,0,0,0,353,everything is normal,a person lying in the floor,353
4_040_0.mp4,0,1,0,60,everything is normal,a person chasing other person,61
4_040_0.mp4,0,355,0,0,everything is normal,everything is normal,355
4_046_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
4_046_0.mp4,0,35,0,221,everything is normal,a certain number of persons fighting,256
4_046_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
4_046_0.mp4,0,0,0,39,everything is normal,a person running,39
4_046_0.mp4,0,0,0,441,everything is normal,a person lying in the floor,441
4_046_0.mp4,0,8,0,248,everything is normal,a person chasing other person,256
4_046_0.mp4,0,443,0,0,everything is normal,everything is normal,443
2_055_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
2_055_0.mp4,0,1,0,178,everything is normal,a certain number of persons fighting,179
2_055_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
2_055_0.mp4,0,7,0,157,everything is normal,a person running,164
2_055_0.mp4,0,0,0,262,everything is normal,a person lying in the floor,262
2_055_0.mp4,0,78,0,146,everything is normal,a person chasing other person,224
2_055_0.mp4,0,263,0,0,everything is normal,everything is normal,263
1_037_0.mp4,0,0,0,0,everything is normal,a person riding a bicycle,0
1_037_0.mp4,0,0,0,0,everything is normal,a certain number of persons fighting,0
1_037_0.mp4,0,0,0,0,everything is normal,a group of persons playing,0
1_037_0.mp4,0,0,0,55,everything is normal,a person running,55
1_037_0.mp4,0,0,0,113,everything is normal,a person lying in the floor,113
1_037_0.mp4,0,21,0,13,everything is normal,a person chasing other person,34
1_037_0.mp4,0,114,0,0,everything is normal,everything is normal,114
